review,label
"""아메리카노 탄맛 심하고 소금빵 질겨서 턱 아픔.. 케이크도 퍽퍽해요. 매장 넓이는 적당하고 분위기는 그냥 깔끔, 직원분들은 사무적이네요.""",222000333000
"""라떼 밍밍하고 베이글은 편의점 빵 수준 ㅠ 티라미수 느끼해서 남김. 화장실은 쓸만하고 인테리어도 무난, 응대는 빠르지도 느리지도 않음.""",222000333000
"""드립커피 향 다 날아갔고 샌드위치 야채 시들함. 치즈케이크 오래된 맛 나요. 주차장 넓이 보통이고 뷰는 쏘쏘, 사장님 태도 평범해요.""",222000333000
"""바닐라라떼 너무 달기만 하고 식빵 퍽퍽해서 목막힘. 딸기 케이크 시트 축축함. 의자 편안함은 보통이고 조명 밝기 적당, 주문 속도 무난.""",222000333000
"""에이드 시럽맛만 나고 크루아상 눅눅해요. 초코 케이크 싸구려 맛. 와이파이 속도 그럭저럭이고 감성은 흔한 느낌, 친절도는 딱 기본.""",222000333000
"""스무디 물맛 나고 잠봉뵈르 햄 비림.. 당근 케이크 맛 이상해요. 2층 좌석 무난하고 음악 선곡 쏘쏘, 알바생 표정 보통.""",222000333000
"""플랫화이트 양 적고 맛없음, 맘모스빵 너무 달아요. 롤케이크 크림 느끼함. 테이블 간격 적당하고 내부 소음 보통, 서비스 기대 안하면 무난.""",222000333000
"""카푸치노 거품 다 꺼졌고 치아바타 딱딱함. 얼그레이 케이크 화장품 맛 남. 콘센트 자리 몇 개 있고 뷰는 아파트뷰라 평범, 응대 쏘쏘.""",222000333000
"""밀크티 가루 뭉쳐있고 앙버터 버터 느끼.. 고구마 케이크 쉬었나? 매장 청결도 보통이고 분위기 적당히 차분함, 직원들 태도 평타.""",222000333000
"""녹차라떼 텁텁하고 모닝빵 질겨요. 무스 케이크 식감 별로임. 화장실 남녀공용이라 그냥 그렇고 사진 스팟은 쏘쏘, 서비스 마인드 보통.""",222000333000
"""커피 맛은 무난하고 빵도 쏘쏘해요. 케이크도 평범한 맛. 근데 자리가 너무 불편하고 매장 안이 시장통처럼 시끄러움 ㅠ 직원도 불친절.""",333000222000
"""라떼 고소함 보통이고 베이글도 그냥 빵맛. 티라미수 적당히 달아요. 주차 불가라 불편하고 인테리어 촌스러움, 주문 실수하고 사과도 안함.""",333000222000
"""아메리카노 산미 적당하고 샌드위치 평범해요. 치즈케이크도 아는 맛. 매장이 너무 춥고 뷰는 공사장 뷰.. 사장님 퉁명스러워서 기분 별로.""",333000222000
"""바닐라라떼 쏘쏘 식빵도 무난함. 딸기 케이크 평타. 테이블 끈적거리고 조명 너무 어두워서 침침함, 알바생들 자기들끼리 떠드느라 바쁨.""",333000222000
"""에이드 탄산 적당하고 크루아상 쏘쏘. 초코 케이크 무난한 단맛. 콘센트 다 막아놔서 불편하고 음악 소리 귀 찢어짐.. 불러도 대답 없는 서비스.""",333000222000
"""스무디 맛 평범하고 잠봉뵈르도 쏘쏘. 당근 케이크 그냥저냥. 의자 등받이 없어서 허리 아프고 분위기 어수선함, 메뉴 설명 대충 해줌.""",333000222000
"""플랫화이트 무난하고 맘모스빵도 평범. 롤케이크 쏘쏘함. 화장실 냄새 심하고 인스타 감성만 쫒느라 내부는 좁아터짐, 직원 응대 최악.""",333000222000
"""카푸치노 쏘쏘 치아바타 무난. 얼그레이 케이크 평타는 침. 매장 청소 안된 느낌이고 먼지 많음, 뷰도 별거 없음. 인사도 안받아줌.""",333000222000
