"Original_Review","label"
"원두 향이 정말 진하고 산미가 적당해서 제 입맛에 딱 맞아요.","100000000000"
"딸기 스무디가 진짜 딸기를 갈아 넣은 맛이라 상큼하고 진해요.","100000000000"
"여기 에스프레소는 크레마가 장난 아니네요. 진짜 묵직합니다.","100000000000"
"자몽 에이드 탄산이 톡 쏘고 과육이 씹혀서 청량감 대박입니다.","100000000000"
"로스팅을 직접 하셔서 그런지 탄 맛 하나도 없고 고소함이 일품이에요.","100000000000"
"밀크티 향이 은은하고 너무 달지 않아서 제 입맛에 딱이었어요.","100000000000"
"핸드드립 커피 마셔봤는데 과일 향이 입안 가득 퍼지는 게 예술입니다.","100000000000"
"녹차 라떼가 텁텁하지 않고 진한 말차 향이 나서 너무 맛있네요.","100000000000"
"커피 원두의 풍미가 깊어서 한 입 마시자마자 감탄했어요.","100000000000"
"수박 주스 마셨는데 시럽 맛 아니고 리얼 수박 맛이라 감동했어요.","100000000000"
"디카페인인데도 일반 커피랑 차이를 모를 정도로 맛이 훌륭하네요.","100000000000"
"레모네이드가 적당히 새콤달콤해서 입맛 돋우기에 최고입니다.","100000000000"
"라떼 아트도 예쁘지만 우유 스팀이 부드러워서 커피랑 조화가 미쳤어요.","100000000000"
"망고 주스가 걸쭉하고 진해서 동남아에서 먹던 맛 같아요.","100000000000"
"묵직한 바디감을 좋아하시는 분들이라면 여기 원두 무조건 추천합니다.","100000000000"
"초코 라떼가 싸구려 초코 맛이 아니라 고급진 맛이라 좋았어요.","100000000000"
"원두 선택할 수 있는 게 장점인데, 산미 있는 원두가 정말 신선해요.","100000000000"
"청포도 에이드 안에 알갱이가 들어있어서 씹는 맛이 일품이네요.","100000000000"
"아메리카노 맛이 깔끔해서 다 마시고 나서도 입안이 개운합니다.","100000000000"
"요거트 스무디가 많이 달지 않고 깔끔해서 디저트로 딱이에요.","100000000000"
"콜드브루 특유의 깔끔함이 잘 살아있어서 여름에 마시기 최고예요.","100000000000"
"얼그레이 티 향이 너무 좋아서 마시는 내내 힐링 됐어요.","100000000000"
"커피가 식어도 맛이 변하지 않고 끝까지 맛있어서 놀랐습니다.","100000000000"
"키위 주스가 새콤해서 비타민 충전 제대로 하는 기분입니다.","100000000000"
"여기 오면 무조건 시그니처 커피 드세요. 커피 맛이 정말 고급스러워요.","100000000000"
